scenario,n,method,bias,se,sd,cov,corr,nrmse,skip,used,n_seeds
C,10000,tnet,-0.00021951476031534245,0.025120790907689067,0.024838664886914663,0.96,0.8802181746440084,0.4983636461389333,0,200,200
C,10000,tarnet,3.178414477389424e-06,0.023686795791342738,0.022828527029061157,0.95,0.9367836124505863,0.3508826468243007,0,200,200
C,10000,bk,0.3006247746138964,,,0.0,,,,,200
D,500,ridge,0.179461789095396,0.23371079456635513,0.3650248597072657,0.8735632183908046,0.43164861434601276,0.9716769092801844,26,174,200
D,500,rf_tuned,0.17445196110303707,0.24780477827496572,0.3126408584188226,0.8728323699421965,0.4106231086494958,0.9315334418712508,27,173,200
D,500,tnet,0.08546078125313139,0.23597304312097978,0.2668888429403889,0.9193548387096774,0.4018348174136081,1.3577384480351742,138,62,200
D,500,tarnet,0.1284083044311471,0.22119109007600973,0.24228399894609837,0.90625,0.43678821342897095,1.2922236076809606,104,96,200
D,500,bk,0.382076783987914,,,0.0,,,,,200
D,1000,ridge,0.1402076648330043,0.1467147854975433,0.23202021285072671,0.8071065989847716,0.5044032396622754,0.8768456609734969,3,197,200
D,1000,rf_tuned,0.15400570714919165,0.15442009331552603,0.17628386669532886,0.8163265306122449,0.4849754154975041,0.8796022590485739,4,196,200
D,1000,tnet,nan,nan,nan,nan,0.4228723961914172,1.5525032658402613,200,0,200
D,1000,tarnet,0.15104205677020172,0.10430110875620467,0.10031786850627253,0.705,0.7301274168256517,0.7166808887696677,0,200,200
D,1000,bk,0.385490980133413,,,0.0,,,,,200
D,2000,ridge,0.15978065786742524,0.09261296243977904,0.11521826829516148,0.5685279187817259,0.553790050669582,0.8222494411783764,3,197,200
D,2000,rf_tuned,0.16129154729583306,0.09523390050603198,0.09760801693847927,0.54,0.5453504278564707,0.8355987731890465,0,200,200
D,2000,tnet,0.16330656008126798,0.09125559099982444,0.09167836635930868,0.5647668393782384,0.5587681330950255,1.2040030473219803,7,193,200
D,2000,tarnet,0.1503552175234127,0.06656340133204229,0.07058530590197638,0.34,0.7953484561365568,0.6079420013342527,0,200,200
D,2000,bk,0.38613861253356513,,,0.0,,,,,200
D,5000,ridge,0.1567978217925517,0.05401470284257763,0.07702888025529209,0.275,0.5880994507569167,0.7875365852598024,0,200,200
D,5000,rf_tuned,0.15572109336908535,0.052912631596358325,0.05894668185041263,0.24,0.6089493919835985,0.7883519771508074,0,200,200
D,5000,tnet,0.15721675397776214,0.04831655623125383,0.05374558387138771,0.145,0.6696887553105628,0.9749106788561384,0,200,200
